title,description,price,currency,available_date,street,area,city,country,image
Cozy Room near University,Quiet and clean room for students,2000,EGP,2026-06-01,El Geish,Tanta Center,Tanta,Egypt,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
Shared Apartment for Girls,Looking for a clean roommate,1500,EGP,2026-05-20,Saad Zaghloul,Downtown,Cairo,Egypt,https://images.unsplash.com/photo-1493809842364-78817add7ffb
Private Studio,Fully furnished studio,3000,EGP,2026-05-15,El Haram,Giza,Giza,Egypt,https://images.unsplash.com/photo-1507089947368-19c1da9775ae
Room with Balcony,Sunny room with nice view,1800,EGP,2026-06-10,Corniche,Stanley,Alexandria,Egypt,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
Budget Shared Room,Affordable shared room,1000,EGP,2026-05-25,El Nasr,Nasr City,Cairo,Egypt,https://images.unsplash.com/photo-1484154218962-a197022b5858
Modern Apartment Room,Modern design with WiFi,2500,EGP,2026-06-05,90 Street,New Cairo,Cairo,Egypt,https://images.unsplash.com/photo-1499951360447-b19be8fe80f5
Student Room,Close to campus,1700,EGP,2026-06-01,University St,Dokki,Giza,Egypt,https://images.unsplash.com/photo-1494526585095-c41746248156
Luxury Room,High-end furnished room,4000,EGP,2026-05-18,North 90,New Cairo,Cairo,Egypt,https://images.unsplash.com/photo-1505691938895-1758d7feb511
Simple Clean Room,Basic and clean,1200,EGP,2026-06-12,El Thawra,Heliopolis,Cairo,Egypt,https://images.unsplash.com/photo-1486304873000-235643847519
Room in Villa,Quiet villa area,2800,EGP,2026-05-30,Villa St,Sheikh Zayed,Giza,Egypt,https://images.unsplash.com/photo-1560185007-cde436f6a4d0
Shared Flat Room,Friendly roommates,1600,EGP,2026-06-03,El Bahr,Tanta Center,Tanta,Egypt,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
Room Near Metro,Very convenient location,2100,EGP,2026-05-22,Ramses,Downtown,Cairo,Egypt,https://images.unsplash.com/photo-1499951360447-b19be8fe80f5
Sunny Room,Lots of natural light,1900,EGP,2026-06-08,Corniche,Miami,Alexandria,Egypt,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
Quiet Room,Perfect for studying,1700,EGP,2026-05-28,El Galaa,Mansoura,Mansoura,Egypt,https://images.unsplash.com/photo-1484154218962-a197022b5858
Large Room,Spacious and comfortable,2600,EGP,2026-06-15,El Nasr,Nasr City,Cairo,Egypt,https://images.unsplash.com/photo-1505691938895-1758d7feb511
Affordable Room,Best price in area,900,EGP,2026-05-26,El Mahalla,Mahalla,Gharbia,Egypt,https://images.unsplash.com/photo-1560185007-cde436f6a4d0
Modern Shared Room,Stylish and clean,2200,EGP,2026-06-07,90 Street,New Cairo,Cairo,Egypt,https://images.unsplash.com/photo-1494526585095-c41746248156
Comfortable Room,Feels like home,2400,EGP,2026-06-02,El Nozha,Heliopolis,Cairo,Egypt,https://images.unsplash.com/photo-1486304873000-235643847519
Room with AC,Air-conditioned room,2700,EGP,2026-05-29,El Tayaran,Nasr City,Cairo,Egypt,https://images.unsplash.com/photo-1507089947368-19c1da9775ae
Nice Room in Center,Everything nearby,2300,EGP,2026-06-11,El Bahr,Tanta Center,Tanta,Egypt,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
